Total_Items,Time_Spent_ in Course,Total_Logins,Activity_inside_content_ area,User_Activity_in_Goup,Nbre_of_clics,Nbre_of_ message_ participation,join_session,Time_Spent_on_Session_Attendence,Level
0.207792208,0.061715749,0.138743455,0.101289134,0.089430894,0.333333333,0.444444444,0.333333333,0.666666667,NE
0.506493506,0.38950064,0.219895288,0.309392265,0.130081301,0.62962963,0,0.888888889,0.2,PE
0.766233766,0.436619718,0.379581152,0.502762431,0.138211382,0.703703704,0.333333333,1,0.6,AE
0.727272727,0.287067862,0.670157068,0.782688766,0.25203252,0.888888889,0.555555556,1,0.6,AE
0.623376623,0.215364917,0.746073298,0.94106814,0.861788618,1,0.777777778,0.777777778,0.666666667,AE
0.454545455,0.240973111,0.204188482,0.311233886,0.772357724,0.62962963,0.555555556,0.777777778,0.4,PE
0.428571429,0.264020487,0.102094241,0.090239411,0.105691057,0.222222222,0.444444444,0.222222222,0.733333333,NE
0.597402597,0.497055058,0.151832461,0.121546961,0.016260163,0.333333333,0.666666667,0.777777778,0.2,PE
1,0.188476312,0.259162304,0.366482505,0.642276423,0.407407407,0.777777778,0.888888889,0.6,AE
0.805194805,0.138284251,0.887434555,0.928176796,0.845528455,0.592592593,0.666666667,1,0.6,AE
0.337662338,0.208706786,0.07591623,0.069981584,0.06504065,0.148148148,0,0.111111111,0.666666667,NE
0.480519481,0.48809219,0.120418848,0.149171271,0.162601626,0.592592593,0.888888889,0.444444444,0.4,PE
0.493506494,0.468886044,0.141361257,0.186003683,0.081300813,0.444444444,0.888888889,0.777777778,0.733333333,AE
0.597402597,0.366453265,0.222513089,0.2946593,0.097560976,0.592592593,0.444444444,0.666666667,0.333333333,PE
0.636363636,0.315236876,0.204188482,0.197053407,0.341463415,0.555555556,0.555555556,0.888888889,0.2,PE
0.662337662,0.409987196,0.311518325,0.384898711,0.918699187,0.777777778,0.444444444,0.888888889,0.6,AE
0.298701299,0.030985915,0.07591623,0.081031308,0.162601626,0.222222222,0.111111111,0.333333333,1,NE
0.337662338,0.008962868,0.062827225,0.141804788,0.601626016,0.444444444,0.333333333,0.888888889,0.266666667,PE
0.363636364,0.208450704,0.123036649,0.156537753,0.479674797,0.518518519,0.444444444,1,0.2,PE
0.441558442,0.082202305,0.102094241,0.104972376,0.536585366,0.185185185,0,0.888888889,0.6,PE
0.584415584,0.088860435,0.403141361,0.453038674,0.577235772,0.333333333,0,1,0.6,AE
0.753246753,0.312676056,0.573298429,0.627992634,0.682926829,0.777777778,0.444444444,1,0.666666667,AE
0.597402597,0.364660691,0.361256545,0.333333333,0.585365854,0.62962963,0,0.444444444,0.4,PE
0.545454545,0.215364917,0.227748691,0.290976059,0.37398374,0.555555556,0.555555556,0.555555556,0.733333333,PE
0.675324675,0.39206146,0.643979058,0.657458564,0.910569106,0.592592593,0,0.777777778,0.666666667,AE
0.818181818,0.435851472,0.908376963,0.718232044,0.739837398,0.925925926,0.888888889,1,0.4,AE
0.584415584,0.290909091,0.327225131,0.515653775,0.869918699,0.703703704,0.333333333,0.888888889,0.733333333,AE
0.727272727,0.215364917,0.573298429,0.701657459,0.528455285,1,0.444444444,1,0.333333333,AE
0.818181818,0.287067862,0.908376963,0.860036832,1,0.851851852,0.222222222,0.666666667,0.2,AE
0.714285714,0.338284251,0.913612565,0.876611418,0.25203252,0.962962963,0.666666667,0.555555556,0.6,AE
0.454545455,0.264020487,0.345549738,0.403314917,0.447154472,1,0.888888889,0.333333333,1,AE
0.233766234,0.256850192,0.112565445,0.246777164,0.422764228,0.592592593,0,0.888888889,0.6,PE
0.350649351,0.209475032,0.070680628,0.08839779,0.487804878,0.37037037,0.111111111,0,0.666666667,NE
0.25974026,0.026888604,0.112565445,0.108655617,0.25203252,0.296296296,0.111111111,0.111111111,0.4,NE
